T,X,Y
0.642000,8.253393,7.811197
0.643000,8.266249,7.820210
0.644000,8.279104,7.829214
0.645000,8.291960,7.838207
0.646000,8.304816,7.847191
0.647000,8.317672,7.856164
0.648000,8.330527,7.865128
0.649000,8.343383,7.874083
0.650000,8.356239,7.883027
0.651000,8.369095,7.891962
0.652000,8.381950,7.900886
0.653000,8.394806,7.909801
0.654000,8.407662,7.918706
0.655000,8.420518,7.927602
0.656000,8.433373,7.936487
0.657000,8.446229,7.945363
0.658000,8.459085,7.954229
0.659000,8.471941,7.963085
0.660000,8.484796,7.971931
0.661000,8.497652,7.980768
0.662000,8.510508,7.989594
0.663000,8.523364,7.998411
0.664000,8.536219,8.007218
0.665000,8.549075,8.016016
0.666000,8.561931,8.024803
0.667000,8.574787,8.033581
0.668000,8.587642,8.042349
0.669000,8.600498,8.051106
0.670000,8.613354,8.059855
0.671000,8.626210,8.068593
0.672000,8.639065,8.077322
0.673000,8.651921,8.086040
0.674000,8.664777,8.094749
0.675000,8.677633,8.103448
0.676000,8.690488,8.112138
0.677000,8.703344,8.120817
0.678000,8.716200,8.129487
0.679000,8.729056,8.138147
0.680000,8.741911,8.146797
0.681000,8.754767,8.155437
0.682000,8.767623,8.164068
0.683000,8.780479,8.172688
0.684000,8.793335,8.181299
0.685000,8.806190,8.189900
0.686000,8.819046,8.198492
0.687000,8.831902,8.207073
0.688000,8.844758,8.215645
0.689000,8.857613,8.224206
0.690000,8.870469,8.232758
0.691000,8.883325,8.241301
0.692000,8.896181,8.249833
0.693000,8.909036,8.258355
0.694000,8.921892,8.266868
0.695000,8.934748,8.275371
0.696000,8.947604,8.283864
0.697000,8.960459,8.292348
0.698000,8.973315,8.300821
0.699000,8.986171,8.309285
0.700000,8.999027,8.317739
0.701000,9.011882,8.326183
0.702000,9.024738,8.334617
0.703000,9.037594,8.343042
0.704000,9.050450,8.351456
0.705000,9.063305,8.359861
0.706000,9.076161,8.368256
0.707000,9.089017,8.376641
0.708000,9.101873,8.385017
0.709000,9.114728,8.393382
0.710000,9.127584,8.401738
0.711000,9.140440,8.410084
0.712000,9.153296,8.418420
0.713000,9.166151,8.426747
0.714000,9.179007,8.435063
0.715000,9.191863,8.443370
0.716000,9.204719,8.451667
0.717000,9.217574,8.459954
0.718000,9.230430,8.468231
0.719000,9.243286,8.476499
0.720000,9.256142,8.484756
0.721000,9.268997,8.493004
0.722000,9.281853,8.501242
0.723000,9.294709,8.509471
0.724000,9.307565,8.517689
0.725000,9.320420,8.525898
0.726000,9.333276,8.534097
0.727000,9.346132,8.542286
0.728000,9.358988,8.550465
0.729000,9.371843,8.558634
0.730000,9.384699,8.566794
0.731000,9.397555,8.574943
0.732000,9.410411,8.583083
0.733000,9.423266,8.591214
0.734000,9.436122,8.599334
0.735000,9.448978,8.607445
0.736000,9.461834,8.615545
0.737000,9.474689,8.623636
0.738000,9.487545,8.631717
0.739000,9.500401,8.639789
0.740000,9.513257,8.647850
0.741000,9.526112,8.655902
0.742000,9.538968,8.663944
0.743000,9.551824,8.671976
0.744000,9.564680,8.679998
0.745000,9.577535,8.688010
0.746000,9.590391,8.696013
0.747000,9.603247,8.704006
0.748000,9.616103,8.711989
0.749000,9.628958,8.719962
0.750000,9.641814,8.727925
0.751000,9.654670,8.735879
0.752000,9.667526,8.743823
0.753000,9.680381,8.751757
0.754000,9.693237,8.759681
0.755000,9.706093,8.767595
0.756000,9.718949,8.775500
0.757000,9.731804,8.783394
0.758000,9.744660,8.791279
0.759000,9.757516,8.799154
0.760000,9.770372,8.807020
0.761000,9.783227,8.814875
0.762000,9.796083,8.822721
0.763000,9.808939,8.830557
0.764000,9.821795,8.838383
0.765000,9.834650,8.846199
0.766000,9.847506,8.854005
0.767000,9.860362,8.861802
0.768000,9.873218,8.869589
0.769000,9.886073,8.877366
0.770000,9.898929,8.885133
0.771000,9.911785,8.892890
0.772000,9.924641,8.900638
0.773000,9.937496,8.908376
0.774000,9.950352,8.916104
0.775000,9.963208,8.923822
0.776000,9.976064,8.931530
0.777000,9.988919,8.939229
0.778000,10.001775,8.946917
